Titulo,Contenido,Fecha,Fuente,Categoria,Autor,Link,Clasificacion,Narrativa
1720760552484458822,"La placa de La Nación sobre Sergio Massa proponiendo un bono para la comunidad LGBT es falsa

👉 No hay registros de la frase ni de la pieza, que muestra inconsistencias con el diseño que suele utilizar el diario en sus redes.
https://t.co/JLyam06E24

✍️ @AfpFactual",2023-11-04 11:11:00+00:00,https://twitter.com/ReversoAr/status/1720760552484458822,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720760552484458822,Tweet,
1720575187349872785,"[NUEVO] No, Lionel Messi no apoyó públicamente a Sergio Massa, como afirman estas placas falsas 

❌ No hay registros de que el jugador haya hecho tales declaraciones de manera pública, tras los resultados de las elecciones generales. 
https://t.co/n0FAbbxv2G 

✍️ @IgnacioCorral",2023-11-03 22:54:26+00:00,https://twitter.com/ReversoAr/status/1720575187349872785,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720575187349872785,Tweet,
1720536994927821302,"[NUEVO] La placa de La Nación sobre Sergio Massa proponiendo un bono para la comunidad LGBT es falsa

👉 No hay registros de la frase ni de la pieza, que muestra inconsistencias con el diseño que suele utilizar el diario en sus redes.
https://t.co/JLyam06E24

✍️ @AfpFactual",2023-11-03 20:22:40+00:00,https://twitter.com/ReversoAr/status/1720536994927821302,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720536994927821302,Tweet,
1720533556722585614,"Es falso que la madre de Lucio Dupuy llamó a votar a Sergio Massa desde la cárcel; el video data de 2021 y no alude al candidato ❌

El video original fue subido a TikTok en enero de 2021 y no cuenta con referencias políticas. https://t.co/MGnNTv1GB5

✍️ @AfpFactual",2023-11-03 20:09:00+00:00,https://twitter.com/ReversoAr/status/1720533556722585614,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720533556722585614,Tweet,
1720506095091740695,"[NUEVO] Qué dice la ley sobre los anuncios de gobierno durante el período de veda electoral

El Código Electoral de la Nación prohíbe la publicidad de los actos de gobierno hasta 25 días antes de las elecciones PASO y generales. https://t.co/FKgFcK270q

✍️ @Jose__Gimenez",2023-11-03 18:19:53+00:00,https://twitter.com/ReversoAr/status/1720506095091740695,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720506095091740695,Tweet,
1720490534530105363,"[NUEVO] Es falso que este video fue filmado en Rosario durante una marcha “contra el fraude electoral”; es del Mundial 2022 ❌

El video original fue grabado el 18 de diciembre de 2022, tras ganar la Argentina el Mundial de Qatar.  https://t.co/UYJZiwdUxd

✍️@depuntocorti",2023-11-03 17:18:03+00:00,https://twitter.com/ReversoAr/status/1720490534530105363,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720490534530105363,Tweet,
1720398163297620173,"Es falso el noticiero sudafricano que supuestamente cubrió la falta de combustible en la Argentina 

El noticiero fue fabricado en base a una plantilla que puede adquirirse online y cuyo contenido puede ser editado por los usuarios. https://t.co/Hl287g06WW 

✍️@AfpFactual",2023-11-03 11:11:00+00:00,https://twitter.com/ReversoAr/status/1720398163297620173,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720398163297620173,Tweet,
1720171167787409858,"Elecciones 2023: cómo se contabiliza el voto en blanco en el balotaje

🗳 Los votos se cuentan sobre los “votos afirmativos válidamente emitidos”, es decir, los que eligen  una boleta de candidatos.
https://t.co/jJADwA60p8

✍️ @lugardel en @ReversoAr",2023-11-02 20:09:00+00:00,https://twitter.com/ReversoAr/status/1720171167787409858,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720171167787409858,Tweet,
1720166372989173812,"[NUEVO] Es falso el noticiero sudafricano que supuestamente cubrió la falta de combustible en la Argentina 

El noticiero fue fabricado en base a una plantilla que puede adquirirse online y cuyo contenido puede ser editado por los usuarios. https://t.co/Hl287g06WW 

✍️@AfpFactual",2023-11-02 19:49:57+00:00,https://twitter.com/ReversoAr/status/1720166372989173812,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720166372989173812,Tweet,
1720136274302935332,"[NUEVO] Es falso que la madre de Lucio Dupuy llamó a votar a Sergio Massa desde la cárcel; el video data de 2021 y no alude al candidato ❌

El video original fue subido a TikTok en enero de 2021 y no cuenta con referencias políticas. https://t.co/MGnNTv1GB5

✍️ @AfpFactual",2023-11-02 17:50:21+00:00,https://twitter.com/ReversoAr/status/1720136274302935332,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720136274302935332,Tweet,
